University Name,Name
"University of California, Berkely",Suzanne Scotchmer
"University of California, Berkely",Chris Shannon
"University of California, Berkely",Carl Shapiro
"University of California, Berkely",David Sraer
"University of California, Berkely",Jón Steinsson
"University of California, Berkely",Philipp Strack
"University of California, Berkely",Dmitry Taubinsky
"University of California, Berkely",Kenneth E. Train
"University of California, Berkely",Laura D. Tyson
"University of California, Berkely",Lloyd Ulman
"University of California, Berkely",Hal Varian
"University of California, Berkely",Reed Walker
"University of California, Berkely",Christopher Walters
"University of California, Berkely",Benjamin N. Ward
"University of California, Berkely",Oliver E. Williamson
"University of California, Berkely",Glenn A. Woroch
"University of California, Berkely",Danny Yagan
"University of California, Berkely",Janet Yellen
"University of California, Berkely",Gabriel Zucman
"University of California, Berkely","Akerlof, George A."
"University of California, Berkely","Anderson, Robert M."
"University of California, Berkely","Bardhan, Pranab K."
"University of California, Berkely","Craine, Roger"
"University of California, Berkely","Break, George"
"University of California, Berkely","Gilbert, Richard J."
"University of California, Berkely","Train, Kenneth E."
"University of California, Berkely","Varian, Hal"
"University of California, Berkely",Jeffrey MacKie-Mason
"University of California, Berkely",Stephen Bianchi
"University of California, Berkely",Evgeniya Duzhak
"University of California, Berkely",Galina Hale
"University of California, Berkely",Raymond Hawkins
"University of California, Berkely",Calanit kamala
"University of California, Berkely",Joseph Lough
University of Pennsylvania,Karun Adusumilli
University of Pennsylvania,Francesco Agostinelli
University of Pennsylvania,Juan Pablo Atal
University of Pennsylvania,Jere R. Behrman
University of Pennsylvania,Aislinn Bohren
University of Pennsylvania,Kenneth Burdett
University of Pennsylvania,Xu Cheng
University of Pennsylvania,Harold L. Cole
University of Pennsylvania,Francis X. Diebold
University of Pennsylvania,David Dillenberger
University of Pennsylvania,Francis J. DiTraglia
University of Pennsylvania,Alessandro Dovis
University of Pennsylvania,Hanming Fang
University of Pennsylvania,Jesus Fernandez-Villaverde
University of Pennsylvania,Amit Gandhi
University of Pennsylvania,Jeremy Greenwood
University of Pennsylvania,Dirk Krueger
University of Pennsylvania,Annie Liang
University of Pennsylvania,Margaux Luflade
University of Pennsylvania,George J. Mailath
University of Pennsylvania,Iourii Manovskii
University of Pennsylvania,Steven Matthews
University of Pennsylvania,Enrique G. Mendoza
University of Pennsylvania,Aviv Nevo
University of Pennsylvania,Guillermo Ordonez
University of Pennsylvania,José-Víctor Ríos-Rull
University of Pennsylvania,Andrew Postlewaite
University of Pennsylvania,Frank Schorfheide
University of Pennsylvania,Andrew Shephard
University of Pennsylvania,Holger Sieg
